"Book ID","Title","Author_Surname","Author_Fname","Date","Publisher","Intl. Std. Book No.","Address","Citation","Web Site"
"Flesher_1","String Band Classics","Flesher","Bob",2011,"Mel Bay","ISBN Unknown","","Flesher, 1","http://www.drhorsehair.com"
"Flesher_2","Banjo Heads","Flesher","Bob",2011,"Dr. Horsehair Music Co.","ISBN Unknown","","Flesher, 2","http://www.drhorsehair.com"
"Flesher_3","Old-Time Clawhammer Banjo","Flesher","Bob",2011,"Dr. Horsehair Music Co.","ISBN Unknown","","Flesher, 3","http://www.drhorsehair.com"
"Flesher_4","Pickin' In The Blueridge","Flesher","Bob",2011,"Dr. Horsehair Music Co.","ISBN Unknown","","Flesher, 4","http://www.drhorsehair.com"
