"Book ID","Title","Author_Surname","Author_Fname","Date","Publisher","Intl. Std. Book No.","Address","Citation","Web Site"
"RD_1","Drop Thumb","Lunceford","R.D.",2001,"Ceilidh Brothers Music","ISBN Unknown","PO Box 505, Brush Prairie, WA 98606","Lunceford, 2001",
"RD_2","Cotton Blossom","Lunceford","R.D.",2005,"Ceilidh Brothers Music","ISBN Unknown","PO Box 505, Brush Prairie, WA 98606","Lunceford, 2005",
