"Citation","Title","Tuning","Page"
"LyleK, Web","Washington's March",f#ADAD,
"LyleK, Web","Earl's Chair, The",f#BEAD,
"LyleK, Web","Golden Keyboard, The",f#BEAD,
"LyleK, Web","Rose in the Mountain",f#BEAD,
"LyleK, Web","Tinker's Daughter, The",f#BEAD,
"LyleK, Web","Open D ",f#DF#AD,
"LyleK, Web","Drunken Hiccups",f#DF#AD,
"LyleK, Web","First Night in Leadville (Western Gem first)",g#EBEF#,
"LyleK, Web","Ladies’ Fancy",g#EBEF#,
"LyleK, Web","Western Gem (& First Night in Leadville)",g#EBEF#,
"LyleK, Web","Crapshooter’s Rag",aFCFG,
"LyleK, Web","Ned Kendall’s Hornpipe (then Miss Barker’s, then Fisher’s)",aFCFG,
"LyleK, Web","29th of May",gDGBD,
"LyleK, Web","Blackberry Blossom (duet)",gDGBD,
"LyleK, Web","Black Sally Goodin",gDGBD,
"LyleK, Web","Dance All Night",gDGBD,
"LyleK, Web","Flop-Eared Mule",gDGBD,
"LyleK, Web","Garfield’s Blackberry Blossom",gDGBD,
"LyleK, Web","Hunting the Buffalo",gDGBD,
"LyleK, Web","Off to California",gDGBD,
"LyleK, Web","Brickyard Joe",gDGDE,
"LyleK, Web","Going to Town",gDGDE,
"LyleK, Web","Green Fields of America",gDGDE,
"LyleK, Web","Ladies in the Ballroom",gDGDE,
"LyleK, Web","Last of Harris",gDGDE,
"LyleK, Web","Lost Girl",gDGDE,
"LyleK, Web","Shoes and Stockings",gDGDE,
"LyleK, Web","Another",gDGDE,
"LyleK, Web","Acacia Reel",gEADE,
"LyleK, Web","Big Scioty",gEADE,
"LyleK, Web","Blue Goose",gEADE,
"LyleK, Web","Brickyard Joe",gEADE,
"LyleK, Web","Brown Button Shoes",gEADE,
"LyleK, Web","Bull Run Picnic",gEADE,
"LyleK, Web","Captain Kelley’s Reel",gEADE,
"LyleK, Web","Charlie's Hornpipe (Stack of Barley)",gEADE,
"LyleK, Web","Dolly",gEADE,
"LyleK, Web","Fort Smith Breakdown",gEADE,
"LyleK, Web","Georgia Wildcat Breakdown",gEADE,
"LyleK, Web","Hollow Poplar",gEADE,
"LyleK, Web","Hooker’s Hornpipe",gEADE,
"LyleK, Web","Jolly Seven Reel",gEADE,
"LyleK, Web","Kitty Puss",gEADE,
"LyleK, Web","Lamb’s Wood Rag",gEADE,
"LyleK, Web","Lay Down with the Chiggers and the Fleas",gEADE,
"LyleK, Web","Leather Britches",gEADE,
"LyleK, Web","Magic Slipper Reel",gEADE,
"LyleK, Web","Pigeon on the Gate",gEADE,
"LyleK, Web","Rebel Raid",gEADE,
"LyleK, Web","Rights of Man",gEADE,
"LyleK, Web","Sally Cooper",gEADE,
"LyleK, Web","Scott Number Two",gEADE,
"LyleK, Web","Sheep and Hogs Walking Through the Pasture",gEADE,
"LyleK, Web","Silver Star Hornpipe",gEADE,
"LyleK, Web","Squirrel Hunters",gEADE,
"LyleK, Web","Wild Horse at Stony Point",gEADE,
