"Book ID","Title","Author_Surname","Author_Fname","Date","Publisher","Intl. Std. Book No.","Address","Citation","Web Site"
"BobSolosko_1","Clawhammer Dances","Solosko","Bob",2001,"","ISBN Unknown","JBK Publishers","Solosko, 2001",
"BobSolosko_2","Eclectic Clawhammer","Solosko","Bob",2006,"","ISBN Unknown","JBK Publishers","Solosko, 2006",
